url,date,name,description,position,task,qualifications,prefer,welfare,endDate,location,stack
https://wanted.co.kr/wd/140074,Sat Jan 28 2023 23:58:16 GMT+0900 (대한민국 표준시),휴멜로,당신이 꿈꾸는 모든 목소리  휴멜로입니다.휴멜로는 텍스트 정보를 음성으로 읽어주는 음성 합성(TTS  Text-to-Speech) 분야에서  음성에 감정을 담고  운율을 사람처럼 자유롭게 조절하는 기술을 연구  개발하는 인공지능 소프트웨어 회사입니다.사람처럼 자연스러운 목소리를 내기 위해  음성의 감정 및 운율(음정  속도)을 조절 가능하도록 하여 사람처럼 상황별로 어울리는 목소리를 내며  IoT 기기 등에서 쉽게 볼 수 있는 현재의 부자연스러운 음성 발화 기술을 대체하고  가전  로봇  음성 컨텐츠 활용까지 스마트 IoT 기기가 수행할 수 있는 일의 범위를 획기적으로 확장시키고자 합니다.SM  스마일게이트  KT와 협업 중입니다.,프론트엔드 개발자 JD,[R&R]API를 활용한 휴멜로의 기술 웹서비스를 개발하여 사용자에게 유연한 사용 경험을 제공합니다.[업무 내용]- React  Next.js  Typescript 등을 활용한 웹 서비스 개발- 비즈니스 가설 기반 프로토타입 서비스 개발- 내부 관리 툴 개발[주요 스택]- JavaScript  TypeScript- React.js  Next.js,- Git/Github를 사용한 Git-flow 기반의 협업에 능숙해야 합니다.- Data Structure와 Complexity에 대한 이해가 필요합니다.- JavasScript(ES6+)  CSS  HTML에 능숙해야 합니다.- TypeScript의 Structural Type System에 대한 깊은 이해가 있어야 합니다.- React를 활용한 선언형 컴포넌트 설계에 능숙해야 합니다.- Context API  Redux 등을 활용한 전역 상태 관리에 대한 깊은 이해가 필요합니다.,- 석사졸업 이상- 협업의 중요성을 충분히 이해하시는 분- 최신 프론트엔드 기술에 대한 흥미와 빠른 습득 능력을 가지신 분- 웹 접근성  웹 표준 및 브라우저에 대한 이해가 있으신 분- OOP  FP에 대한 충분한 이해가 있으신 분- SWR  React-Query 등을 활용한 비동기 상태 관리에 대한 경험 및 이해가 있으신 분- Canvas API  D3.js 등을 이용한 Animation  Data Visualization 경험이 있으신 분- 서비스에 따른 코드 구조 설계 및 리팩토링을 진행해보신 분- 문제 해결에 초점을 맞추어 복잡한 문제를 해결  최적화 해본 경험이 있으신 분- 오픈소스 프로젝트 활동이나 개인 프로젝트 경험이 있으신 분- 관련 업무 1년이상 경험이 있으신 분[급여] 협의 후 결정.[채용 형태]3개월 수습기간 (연봉 조정 없음) 뒤 업무 평가에 따라 정규직 채용.상시 채용 / 서류 평가 후 대면 면접 진행. 대면 면접은 직무 면접  Q&A(회사의 비전에 대한 지원자의 질문  회사의 답변)  FIT 면접(임원 면접)으로 진행됨.,개인 장비 맥북  최신GPU서버  듀얼 모니터자기 계발 도서구입비 및 업무 관련 강의 지원  월별 운동비 10만원 지원식사 아침/점심/저녁 식대 각 2만원 (개인 법인카드 제공)연차  휴가 자유로운 반/연차 사용  3년마다 리프레쉬 휴가 제공(연가 합쳐 total 30일)근무 형태 자율 출근제(7시~13시)  일부 원격근무 가능  주 40시간 근무  유연 근무(자유로운 time shift 가능)보험  의료 경조사비  종합검진  4대보험  심리상담비 지원,상시,서초구 강남대로 315  3층 휴멜로 (파이낸셜뉴스빌딩),
https://wanted.co.kr/wd/100542,Sat Jan 28 2023 23:58:24 GMT+0900 (대한민국 표준시),위에이알,위에이알(WE-AR)은 2019년 첫발을 뗀 조직입니다. 인스타그램  스노우  틱톡  스냅챗에서 사용 가능한 AR필터 제작으로어느새 국내 시장 1위  글로벌 TOP 10 제작사의 입지를 다졌습니다.우리는 증강현실 기술이 세상을 더 효율적으로 만들 수 있다는 것을 믿습니다.매장에 가지 않아도 제품을 체험하고  검색하지 않아도 검색 결과를 띄워주는 시대가 도래할 것입니다. 오프라인 커뮤니케이션은 줄어들고  증강현실과 메타버스에서의 삶이 더 자연스러워질 것입니다.2021년 다양한 기업들과 협업하여 웹XR 솔루션  AR 앱/필터 개발 등 콘텐츠 제작 역량을 강화했고 최근 NFT 시장에 진출하여 블록체인 기반 커뮤니케이션 서비스 ‘클레이랜드'를 공개했습니다.이를 통해 우리는 메타버스 플랫폼 기업으로의 도약을 준비 중입니다.급성장 중인 메타버스와 블록체인 산업  그리고 성장하는 위에이알에서 본인의 능력을 발휘하며  재밌는 이야기를 함께 만들어나갈 팀원을 찾습니다.지금 바로 지원해주세요!- WANA Games 에서는    - 2023년 캐쥬얼 게임 2개를 개발하여 서비스    - 2024년 메타버스의 개발 후 서비스를 목표로 하고 있습니다.    - 저희 팀에서 준비 중인 2023년 상반기 게임은 아래와 같습니다.       - 멀티플레이 기반의 하이퍼캐쥬얼 게임       - 적을 방해하고 1등으로 목표에 도달하는 게임,[WanaGames] 백엔드 개발자,- 백엔드 서비스(API  Game  Video) 개발/유지보수- NFT  결제등 내/외부 서비스 연동 개발＜채용절차＞서류전형 → 1차 직무인터뷰 → 해당시)개발과제 → 2차 대표인터뷰 → 처우협의 →최종합격,- Go  Rust  Nodejs 프로그래밍 언어 경험 3년이상- Dynamodb  Cassandra  Postgresql  Mysql 데이터베이스 설계에 익숙하신 분- Kubernetes  Docker와 같은 컨테이너 환경에 익숙하신 분- 멀티스레딩 환경에서의 개발이 익숙하신 분,- 응용스프트웨어  컴퓨터공학 전공자- Go  Rust 프로그래밍 언어 경험- Kubernetes  Docker 컨테이너 환경 경험,### 연봉 및 급여.- 경력과 연차에 따라 연봉을 책정합니다.- 성장 가능성이 높은 멤버라면 업무 능력에 맞춰 스톡옵션을 제공할 수 있습니다.### 위에이알 복지- 사람 스트레스 없이 업무에만 집중할 수 있는 조직 문화를 지향합니다 (중요)- 최신형 맥북(CTO)  듀얼모니터  소프트웨어 제공은 기본이죠- 커리어 개발을 위해 교육비 최대 월 50만원 지원합니다- 업무 관련 도서라면 전액 지원합니다.- 청년내일채움공제를 원하신다면 당연히!- '님' 호칭으로 수평적인 문화를 갖습니다 :)- 반차/연차는 자유롭게 사용하세요!- 매일 점심은 12 000원으로 여유있게!- 스낵바는 무료로 마음껏 사용하세요 (원하는 것도 주문 가능해요,상시,성동구 성수일로 19 유한타워 4층,
https://wanted.co.kr/wd/46155,Sat Jan 28 2023 23:58:31 GMT+0900 (대한민국 표준시),코보시스,코보시스는 창의적 기술을 통해 고객의 새로운 가치창출을 실현하는 사람중심 소통중심의 IT기업으로 설립 이후 꾸준히 성장해 왔습니다.다양한 산업에 대한 이해와 IT분야 전문성을 기반으로 스마트 기술 기반의 솔루션을 통해 급속한 시장변화에 대응하며 새로운 사업기회를 발굴하여 고객에게 새로운 기회와 가치를 제공합니다.고객의 불편함을 해결하는 플랫폼  고객이 원하는 고객 중심적인 회사의 미션과 비전을 가지고 고객에게 우리의 노하우가 담긴 기술로 처음 경험하는 새로운 가치를 전합니다.전국 공간 예약 플랫폼 "와우플"유무인매장 운영 통합 솔루션 "바로더" 서비스를 운영 중입니다.공유 플랫폼 개발 및 운영을 담당할 소중한 동료를 기다리고 있습니다.,POS(포스)/KIOSK 개발자,• 키오스크 및 POS 솔루션 개발 및 유지보수,• 컴퓨터 공학이나 그와 유사한 학과의 학사 이상 학위 소지자 • C#  WPF 개발 3년 이상 경력을 보유한 분 • 키오스크  POS 개발 경험이 있는 분 • .NET Framework 환경에 익숙하며 기본 원리에 대해 관심이 많은 분 • Client - Server 개발 모델에 익숙하며 Restful 개발 경험이 있는 분 • Git 등 분산 버전 관리 시스템에 익숙하고 코드 리뷰를 활발히 해보신 분• 시리얼 및 통신 프로그램 개발 경험이 있는 분,• Application의 최초 출시 부터  유지보수  업데이트 등 개발 과정에 대한 경험,• 매월 중식 식권대장 15만포인트 지급• 매월 팀빌딩비 지급• 생일 축하금과 명절 선물 지급• 각종 경조금 및 경조사 휴가 제공• 자기계발을 위한 사내 도서관 운영• 카페테리아 제공(네스프레소 캡슐커피/간식/음료)• 시차출퇴근제• 연차수당  퇴직금 지급• 연봉 외 성과급 지급• 웰컴 사무용품 지원• 자유로운 연차 사용• 장기근속자 포상• 내일채움공제 지원이력서에 연봉 필수 기재# 필수 제출 서류- 이력서  자기소개서  경력기술서,상시,송파구 법원로 11길 11  A동 901~904호 (문정현대지식산업센터1-1),
